Law Pinecone Indexing Report - Generated on 2025-03-25 09:13:05
FULL MODE
Total .json files processed: 4190
Successfully upserted: 4190
Failed to upsert: 0
All files upserted? YES
Total execution time: 3h 4m 3s

Time taken per file:
  - 100_10_C2025C00029VOL03_20250324_220001.json: 8.02 sec
  - 100_15_C2025C00029VOL03_20250324_220001.json: 1.62 sec
  - 100_20_C2025C00029VOL03_20250324_220001.json: 1.13 sec
  - 100_25_C2025C00029VOL03_20250324_220001.json: 1.54 sec
  - 100_30_C2025C00029VOL03_20250324_220001.json: 1.48 sec
  - 100_33_C2025C00029VOL03_20250324_220001.json: 1.45 sec
  - 100_35_C2025C00029VOL03_20250324_220001.json: 1.39 sec
  - 100_40_C2025C00029VOL03_20250324_220001.json: 1.35 sec
  - 100_45_C2025C00029VOL03_20250324_220001.json: 1.14 sec
  - 100_50_C2025C00029VOL03_20250324_220001.json: 1.89 sec
  - 100_55_C2025C00029VOL03_20250324_220001.json: 0.78 sec
  - 100_5_C2025C00029VOL03_20250324_220001.json: 1.29 sec
  - 100_60_C2025C00029VOL03_20250324_220001.json: 1.00 sec
  - 100_65_C2025C00029VOL03_20250324_220001.json: 1.04 sec
  - 100_70_C2025C00029VOL03_20250324_220001.json: 0.97 sec
  - 102_10_C2025C00029VOL03_20250324_220001.json: 0.96 sec
  - 102_15_C2025C00029VOL03_20250324_220001.json: 1.02 sec
  - 102_20_C2025C00029VOL03_20250324_220001.json: 1.39 sec
  - 102_22_C2025C00029VOL03_20250324_220001.json: 0.95 sec
  - 102_23_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 102_25_C2025C00029VOL03_20250324_220001.json: 1.35 sec
  - 102_30_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 102_3_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 102_5_C2025C00029VOL03_20250324_220001.json: 1.06 sec
  - 103_10_C2025C00029VOL03_20250324_220001.json: 0.88 sec
  - 103_15_C2025C00029VOL03_20250324_220001.json: 1.28 sec
  - 103_25_C2025C00029VOL03_20250324_220001.json: 1.10 sec
  - 103_30_C2025C00029VOL03_20250324_220001.json: 1.00 sec
  - 103_5_C2025C00029VOL03_20250324_220001.json: 1.00 sec
  - 104_100_C2025C00029VOL03_20250324_220001.json: 0.95 sec
  - 104_105_C2025C00029VOL03_20250324_220001.json: 0.96 sec
  - 104_107A_C2025C00029VOL03_20250324_220001.json: 1.32 sec
  - 104_107B_C2025C00029VOL03_20250324_220001.json: 0.99 sec
  - 104_107C_C2025C00029VOL03_20250324_220001.json: 1.09 sec
  - 104_107D_C2025C00029VOL03_20250324_220001.json: 1.09 sec
  - 104_107E_C2025C00029VOL03_20250324_220001.json: 0.93 sec
  - 104_107F_C2025C00029VOL03_20250324_220001.json: 0.98 sec
  - 104_107G_C2025C00029VOL03_20250324_220001.json: 1.01 sec
  - 104_107H_C2025C00029VOL03_20250324_220001.json: 1.03 sec
  - 104_10_C2025C00029VOL03_20250324_220001.json: 0.90 sec
  - 104_110_C2025C00029VOL03_20250324_220001.json: 1.26 sec
  - 104_115_C2025C00029VOL03_20250324_220001.json: 1.06 sec
  - 104_120_C2025C00029VOL03_20250324_220001.json: 0.98 sec
  - 104_125_C2025C00029VOL03_20250324_220001.json: 1.09 sec
  - 104_130_C2025C00029VOL03_20250324_220001.json: 0.75 sec
  - 104_135_C2025C00029VOL03_20250324_220001.json: 1.05 sec
  - 104_145_C2025C00029VOL03_20250324_220001.json: 0.96 sec
  - 104_150_C2025C00029VOL03_20250324_220001.json: 0.97 sec
  - 104_155_C2025C00029VOL03_20250324_220001.json: 1.98 sec
  - 104_15_C2025C00029VOL03_20250324_220001.json: 0.94 sec
  - 104_160_C2025C00029VOL03_20250324_220001.json: 1.13 sec
  - 104_165_C2025C00029VOL03_20250324_220001.json: 0.89 sec
  - 104_170_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 104_175_C2025C00029VOL03_20250324_220001.json: 1.08 sec
  - 104_180_C2025C00029VOL03_20250324_220001.json: 1.00 sec
  - 104_182_C2025C00029VOL03_20250324_220001.json: 0.91 sec
  - 104_190_C2025C00029VOL03_20250324_220001.json: 0.86 sec
  - 104_195_C2025C00029VOL03_20250324_220001.json: 0.92 sec
